OSM_ID,BUILDING,A_STRT,A_SBRB,A_HSNMBR,B_LEVELS,NAME
210243858,yes,,,,"1",
210235361,yes,,,,"1",
210243641,yes,,,,"1",
154730522,yes,,,,,
210243651,yes,,,,"1",
210235320,yes,,,,"1",
210235306,yes,,,,"1",
210235293,yes,,,,"1",
100813557,yes,,,,"1",
210243754,yes,,,,"1",
210235396,yes,,,,"1",
210243726,yes,,,,"1",
210235446,yes,,,,"1",
100813589,yes,,,,"1",
210235316,yes,,,,"1",
210243862,yes,,,,"1",
210235379,yes,,,,"1",
100813534,yes,,,,"1",
100813548,yes,,,,"1",
210235311,yes,,,,"1",
210243645,yes,,,,"1",
210235393,yes,,,,"1",
210235351,yes,,,,"1",
210243626,yes,,,,"1",
210235305,yes,,,,"1",
100813554,yes,,,,"1",
100813571,yes,,,,"1",
210235281,yes,,,,"1",
210243679,yes,,,,"1",
210243625,yes,,,,"1",
210243629,yes,,,,"1",
100813582,yes,,,,"1",
210235420,yes,,,,"1",
154730517,yes,,,,,
210243788,yes,,,,"1",
210235411,yes,,,,"1",
210243593,yes,,,,"1",
100813591,yes,,,,"1",
210243650,yes,,,,"1",
210243847,yes,,,,"1",
210235312,yes,,,,"1",
210235375,yes,,,,"1",
210243833,yes,,,,"1",
210235433,yes,,,,"1",
210235337,yes,,,,"1",
210243737,yes,,,,"1",
210243696,yes,,,,"1",
100813564,yes,,,,"1",
210235271,yes,,,,"1",
210235310,yes,,,,"1",
210243782,yes,,,,"1",
100813568,yes,,,,"1",
210235406,yes,,,,"1",
100813584,yes,,,,"1",
210235403,yes,,,,"1",
210243807,yes,,,,"1",
210243697,yes,,,,"1",
210243759,yes,,,,"1",
210235283,yes,,,,"1",
100813536,yes,,,,"1",
210243658,yes,,,,"1",
210243622,yes,,,,"1",
210243762,yes,,,,"1",
210235338,yes,,,,"1",
210235294,yes,,,,"1",
210243591,yes,,,,"1",
210235372,yes,,,,"1",
210243665,yes,,,,"1",
210235424,yes,,,,"1",
210243717,yes,,,,"1",
100813594,yes,,,,"1",
210235330,yes,,,,"1",
210243820,yes,,,,"1",
210235358,yes,,,,"1",
210235427,yes,,,,"1",
210243839,yes,,,,"1",
210235443,yes,,,,"1",
210243854,yes,,,,"1",
210243817,yes,,,,"1",
210235295,yes,,,,"1",
210243841,yes,,,,"1",
210235451,yes,,,,"1",
210235269,yes,,,,"1",
100813532,yes,,,,"1",
210235452,yes,,,,"1",
100813595,yes,,,,"1",
210243708,yes,,,,"1",
210243787,yes,,,,"1",
210235371,yes,,,,"1",
210243733,yes,,,,"1",
210235289,yes,,,,"1",
210235274,yes,,,,"1",
210243797,yes,,,,"1",
210235380,yes,,,,"1",
210243692,yes,,,,"1",
210235284,yes,,,,"1",
210235307,yes,,,,"1",
210243778,yes,,,,"1",
210243826,yes,,,,"1",
210243780,yes,,,,"1",
210235345,yes,,,,"1",
210243608,yes,,,,"1",
210235313,yes,,,,"1",
210235341,yes,,,,"1",
210235453,yes,,,,"1",
210235267,yes,,,,"1",
210243751,yes,,,,"1",
210243662,yes,,,,"1",
210235277,yes,,,,"1",
210243732,yes,,,,"1",
210235428,yes,,,,"1",
210235373,yes,,,,"1",
210235362,yes,,,,"1",
210235369,yes,,,,"1",
210235423,yes,,,,"1",
210235363,yes,,,,"1",
210235395,yes,,,,"1",
210235322,yes,,,,"1",
210243684,yes,,,,"1",
210235335,yes,,,,"1",
210235413,yes,,,,"1",
210243724,yes,,,,"1",
210235444,yes,,,,"1",
210235438,yes,,,,"1",
210235436,yes,,,,"1",
210243856,yes,,,,"1",
210243805,yes,,,,"1",
210243705,yes,,,,"1",
210235398,yes,,,,"1",
210243748,yes,,,,"1",
210243793,yes,,,,"1",
210235270,yes,,,,"1",
210243752,yes,,,,"1",
210243644,yes,,,,"1",
210235297,yes,,,,"1",
210235309,yes,,,,"1",
210243742,yes,,,,"1",
210235314,yes,,,,"1",
210243773,yes,,,,"1",
210235287,yes,,,,"1",
210243675,yes,,,,"1",
210235360,yes,,,,"1",
210235331,yes,,,,"1",
210243792,yes,,,,"1",
210235405,yes,,,,"1",
210235391,yes,,,,"1",
210243781,yes,,,,"1",
210235328,yes,,,,"1",
210235303,yes,,,,"1",
210243648,yes,,,,"1",
210243810,yes,,,,"1",
210235402,yes,,,,"1",
210243652,yes,,,,"1",
210243756,yes,,,,"1",
210243806,yes,,,,"1",
210243776,yes,,,,"1",
210235431,yes,,,,"1",
210243730,yes,,,,"1",
210243671,yes,,,,"1",
210235397,yes,,,,"1",
210243646,yes,,,,"1",
210235298,yes,,,,"1",
210243760,yes,,,,"1",
210243672,yes,,,,"1",
210235441,yes,,,,"1",
210243749,yes,,,,"1",
210243666,yes,,,,"1",
210243663,yes,,,,"1",
210235273,yes,,,,"1",
210235366,yes,,,,"1",
207614062,yes,,,,"1",
210243816,yes,,,,"1",
210243669,yes,,,,"1",
207614061,yes,,,,"1",
210243779,yes,,,,"1",
210235299,yes,,,,"1",
210243864,yes,,,,"1",
207614013,yes,,,,"1",
210243700,yes,,,,"1",
210243851,yes,,,,"1",
207614015,yes,,,,"1",
196497292,yes,,,,"1",
207614055,yes,,,,"1",
210243845,yes,,,,"1",
210243659,yes,,,,"1",
210243743,yes,,,,"1",
207614037,yes,,,,"1",
207614001,yes,,,,"1",
207614005,yes,,,,"1",
154730526,yes,,,,,
207613988,yes,,,,"1",
210243772,yes,,,,"1",
207614057,yes,,,,"1",
207614010,yes,,,,"1",
207614054,yes,,,,"1",
207614012,yes,,,,"1",
155187641,yes,,,,"1",
207613088,yes,,,,"1",
207614029,yes,,,,"1",
207614016,yes,,,,"1",
207614051,yes,,,,"1",
207613998,yes,,,,"1",
207614007,yes,,,,"1",
207614063,yes,,,,"1",
207614045,yes,,,,"1",
207613110,yes,,,,"1",
207614058,yes,,,,"1",
155182647,yes,,,,"1",
207614049,yes,,,,"1",
207614064,yes,,,,"1",
207614023,yes,,,,"1",
207614042,yes,,,,"1",
207613116,yes,,,,"1",
207614031,yes,,,,"1",
207614020,yes,,,,"1",
207614025,yes,,,,"1",
207614039,yes,,,,"1",
207614014,yes,,,,"1",
207614047,yes,,,,"1",
207614036,yes,,,,"1",
207614034,yes,,,,"1",
207613103,yes,,,,"1",
207614017,yes,,,,"1",
207614003,yes,,,,"1",
207614053,yes,,,,"1",
155182646,yes,,,,"1",
155182653,yes,,,,"1",
207614056,yes,,,,"1",
188630395,yes,,,,"1",
196497289,yes,,,,"1",
207614032,yes,,,,"1",
